,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
7,1825.25,10,CO,1,NSE:HCLTECH-EQ,06-11-2024 10:59,1825.25,-1,2
8,1180.6,10,CO,1,NSE:AXISBANK-EQ,06-11-2024 09:39,1180.6,1,2
9,1757.5,10,CO,1,NSE:HDFCBANK-EQ,06-11-2024 14:20,1757.5,-1,2
0,298.7,10,CO,1,NSE:BEL-EQ,07-11-2024 11:27,298.7,1,2
1,415.45,10,CO,1,NSE:IIFLSEC-EQ,07-11-2024 09:38,415.45,-1,2
2,299.25,10,CO,1,NSE:BEL-EQ,07-11-2024 11:31,299.25,-1,2
3,411.95,10,CO,1,NSE:IIFLSEC-EQ,07-11-2024 09:28,411.95,1,2
0,1830.4,10,CO,1,NSE:INFY-EQ,08-11-2024 13:38,1830.4,-1,2
1,1837.05,10,CO,1,NSE:INFY-EQ,08-11-2024 14:31,1837.05,-1,2
2,1851.05,10,CO,1,NSE:HCLTECH-EQ,08-11-2024 10:19,1851.05,1,2
3,1839.5,10,CO,1,NSE:INFY-EQ,08-11-2024 12:00,1839.5,1,2
4,1835.45,10,CO,1,NSE:INFY-EQ,08-11-2024 13:57,1835.45,1,2
5,1840.95,10,CO,1,NSE:HCLTECH-EQ,08-11-2024 11:53,1840.95,-1,1
0,1848.5,10,CO,1,NSE:INFY-EQ,11-11-2024 10:26,1848.5,1,1
1,852.4,10,CO,1,NSE:SBIN-EQ,11-11-2024 10:56,852.4,-1,2
2,847.9,10,CO,1,NSE:SBIN-EQ,11-11-2024 09:35,847.9,1,2
3,848.75,10,CO,1,NSE:SBIN-EQ,11-11-2024 10:48,848.75,1,1
4,1852.7,10,CO,1,NSE:INFY-EQ,11-11-2024 10:30,1852.7,-1,2
5,1841.85,10,CO,1,NSE:INFY-EQ,11-11-2024 09:31,1841.85,-1,2
6,1838.95,10,CO,1,NSE:INFY-EQ,11-11-2024 09:28,1838.95,1,2
7,843.65,10,CO,1,NSE:SBIN-EQ,11-11-2024 10:19,843.65,-1,2
0,1289.55,10,CO,1,NSE:ICICIBANK-EQ,12-11-2024 09:58,1289.55,-1,2
1,1284,10,CO,1,NSE:ICICIBANK-EQ,12-11-2024 09:42,1284,1,2
0,805.4,10,CO,1,NSE:SBIN-EQ,18-11-2024 10:05,805.4,1,2
1,1712,10,CO,1,NSE:HDFCBANK-EQ,18-11-2024 12:07,1712,1,2
2,806.15,10,CO,1,NSE:SBIN-EQ,18-11-2024 11:14,806.15,1,2
3,211.72,10,CO,1,NSE:KARURVYSYA-EQ,18-11-2024 13:37,211.72,-1,2
4,211.72,10,CO,2,NSE:KARURVYSYA-EQ,18-11-2024 13:37,423.44,-1,2
5,1713.65,10,CO,1,NSE:HDFCBANK-EQ,18-11-2024 12:19,1713.65,-1,2
6,211.25,10,CO,2,NSE:KARURVYSYA-EQ,18-11-2024 12:33,422.5,1,2
7,1252.95,10,CO,1,NSE:ICICIBANK-EQ,18-11-2024 10:49,1252.95,-1,2
8,1258.05,10,CO,1,NSE:ICICIBANK-EQ,18-11-2024 10:03,1258.05,1,2
9,800.55,10,CO,1,NSE:SBIN-EQ,18-11-2024 09:41,800.55,-1,2
10,211.51,10,CO,3,NSE:KARURVYSYA-EQ,18-11-2024 12:31,634.53,1,2
11,808.1,10,CO,1,NSE:SBIN-EQ,18-11-2024 11:34,808.1,-1,2
